  dataset zr_black zr_white  a_black v_black_gun t0_black_gun      st0  a_white v_white_phone t0_white_phone v_black_phone t0_black_phone v_white_gun t0_white_gun  penalty      fit     time   method
       26   0.5386   0.4898   0.7201 -49.9922   0.3631   0.1188   0.6649   4.1882   0.3911   3.4285   0.4490  -2.8965   0.3453   0.0000 -168.2502   0.9085       ML
       27   0.5958   0.3687   0.8274  -5.1114   0.4127   0.1831   0.8967   5.7149   0.4539   4.7032   0.5348  -5.8032   0.4631   0.0000 -133.6922   0.7264       ML
       28   0.4100   0.6072   0.5251  -9.9450   0.5019   0.1974   0.5531   8.8554   0.5387   5.6880   0.5491  -3.6131   0.4617   0.0000 -122.7530   1.1416       ML
       29   0.3409   0.2846   0.9152  -3.0459   0.3951   0.1584   0.5730   5.3114   0.5256   6.8118   0.5242  -3.0244   0.4698   0.0000 -135.8855   0.9705       ML
        3   0.9673   0.6248   5.3096 -13.7624   0.1809   0.1590   0.7909   5.5900   0.5876  49.9993   0.6138  -4.7302   0.4655   0.0000 -122.7016   1.0041       ML
       30   0.9057   0.5235   2.7039 -10.4299   0.1905   0.0939   0.8105   5.4372   0.4879  10.3942   0.5433  -3.6499   0.3923   0.0000 -173.7372   0.7127       ML
       31   0.6402   0.4412   1.4389  -7.6361   0.3319   0.0001   3.9484  11.1908   0.2978   5.1782   0.4019  -9.7869   0.2920   0.0000 -207.9943   0.3498       ML
       32   0.3087   0.4890   1.0310  -2.7173   0.4129   0.1653   0.8887  12.8968   0.5969   8.0851   0.5467  -3.7557   0.4208   0.0000 -108.5196   1.0111       ML
       34   0.5173   0.5136   0.8465  -3.7942   0.3830   0.2026   0.8427   3.7322   0.4227   6.8438   0.5113  -3.7332   0.4221   0.0000 -127.3191   0.9429       ML
       35   0.5712   0.2586   0.4782  -6.0533   0.5166   0.1802   0.7733   5.4392   0.5338  47.9982   0.5995  -1.7948   0.4784   0.0000 -99.9929   0.8637       ML
       36   0.2943   0.4083   0.5595  -2.2865   0.3870   0.1804   0.5113   3.1061   0.4853   4.0011   0.5212  -0.6563   0.3998   0.0000 -90.7653   1.1190       ML
       37   0.5968   0.4983   0.8575  -4.4859   0.3704   0.1507   0.7222   4.2484   0.4953   6.1109   0.5604  -4.2629   0.4180   0.0000 -156.4631   0.6223       ML
       38   0.3956   0.3312   0.5194  -3.4171   0.4560   0.2236   0.7510   5.3277   0.4686   9.2365   0.5718  -2.7284   0.4284   0.0000 -105.3682   1.5619       ML
        4   0.5881   0.4088   0.5611  -8.5330   0.4067   0.1329   0.9922   7.1203   0.4804   6.7314   0.5242 -10.0555   0.4341   0.0000 -194.1817   0.9117       ML
       40   0.3360   0.6670   0.6903  -5.7108   0.4674   0.1347   0.7863   8.7249   0.5652  50.0000   0.6165  -6.3214   0.4501   0.0000 -178.1119   0.7327       ML
       41   0.3213   0.2477   2.6674  -6.8245   0.3839   0.1143   0.6696   9.6387   0.5395  10.1533   0.4156  -4.4540   0.4915   0.0000 -188.1664   0.8579       ML
       42   0.2746   0.4357   1.3027  -8.3386   0.4392   0.1651   0.5695   6.9826   0.5199  15.8282   0.5305  -5.5069   0.4681   0.0000 -165.8496   1.0108       ML
       45   0.5497   0.4729   0.7496  -4.4890   0.3847   0.2000   0.7192   2.2849   0.4040   6.5979   0.5217  -2.0483   0.3848   0.0000 -110.6717   0.8316       ML
       46   0.2200   0.4779   0.9857  -4.1596   0.4088   0.1341   0.6151   5.2685   0.4998   7.8836   0.4857  -4.3107   0.4641   0.0000 -155.9799   0.5083       ML
       47   0.3516   0.3744   0.5422  -0.7456   0.3936   0.1901   0.5442   3.7957   0.5330   3.3415   0.5521  -0.4202   0.4429   0.0000 -82.3791   1.1011       ML
       48   0.6626   0.6617   0.8683  -7.0669   0.3963   0.1703   0.6383   2.1725   0.4577   4.6029   0.4344  -6.7875   0.4539   0.0000 -139.0002   0.8881       ML
       49   0.1817   0.2393   0.6901  -3.9086   0.4826   0.2693   0.6298   5.0711   0.4956   5.4608   0.5303  -2.4278   0.4832   0.0000 -80.3526   1.4001       ML
        5   0.3980   0.4103   0.6671  -4.1347   0.3609   0.1055   0.6620   3.9878   0.4025   5.1059   0.4660  -2.1974   0.3617   0.0000 -143.2399   0.8622       ML
       50   0.5854   0.5300   0.5574  -4.3226   0.3679   0.1611   0.6435   1.6769   0.3676   2.0370   0.4147  -2.9272   0.3679   0.0000 -96.9223   0.5399       ML
       51   0.4223   0.5868   0.7585  -4.3441   0.3355   0.1188   0.7695   3.8160   0.4946   5.1241   0.4849  -4.0637   0.3567   0.0000 -147.8677   0.5237       ML
       52   0.1775   0.7196   1.9180  -8.5366   0.4228   0.1358   0.7225   3.8432   0.4653   8.7674   0.3776 -11.2290   0.4315   0.0000 -175.1432   1.1233       ML
       53   0.4093   0.4273   0.4821  -5.6554   0.4068   0.1255   0.5350   9.5346   0.5481  13.9614   0.5707  -4.7929   0.4328   0.0000 -198.5823   0.6108       ML
       54   0.5891   0.5461   0.6340  -5.1602   0.3668   0.1658   0.7537   2.1866   0.3969   5.1459   0.5069  -4.9851   0.4084   0.0000 -128.4960   1.0113       ML
       55   0.3755   0.6053   1.1473  -6.7727   0.3749   0.1547   0.4888   4.4886   0.5028   3.8819   0.4063  -5.1772   0.3979   0.0000 -145.7336   1.0486       ML
       56   0.4625   0.5670   0.9781  -9.8925   0.4398   0.1632   1.0325   3.3321   0.4306  10.5630   0.5407  -5.2806   0.4148   0.0000 -154.0473   1.2133       ML
       57   0.1445   0.8775   0.7680 -24.0247   0.3792   0.2423   1.0253   2.6742   0.4460  14.9046   0.5160  -7.3033   0.3717   0.0000 -124.9669   1.5219       ML
       58   0.0684   0.0838   4.9035  -5.5185   0.3714   0.0745   3.3923  11.8263   0.3130  16.4297   0.3377  -6.7728   0.4266   0.0000 -207.0428   0.6766       ML
       59   0.5230   0.5121   0.5502  -4.1489   0.3932   0.1727   0.6412   3.6988   0.4489   4.4004   0.4994  -1.1894   0.4035   0.0000 -107.4675   1.2346       ML
        6   0.6165   0.6005   1.4411  -6.3283   0.3274   0.1707   0.7520   4.2802   0.4914   9.5619   0.5373  -3.3566   0.4271   0.0000 -141.5052   1.3157       ML
       60   0.4424   0.4679   0.6313  -3.8848   0.3759   0.1468   0.6843   3.6509   0.4590   4.6793   0.4937  -7.1033   0.4336   0.0000 -143.0950   0.7379       ML
       61   0.5068   0.5424   0.8372  -4.3546   0.3647   0.0880   0.7872   4.4191   0.4609   5.4701   0.4750  -4.2672   0.3937   0.0000 -161.4705   0.4770       ML
       62   0.0964   0.5925   0.7125  -2.6165   0.4412   0.1919   0.5483   2.0763   0.5302   9.1612   0.5712  -3.4141   0.4222   0.0000 -94.9484   1.1099       ML
       63   0.3083   0.4596   0.9034  -6.8298   0.3973   0.1265   0.8779   4.2116   0.4253   5.7416   0.4719  -6.9485   0.4083   0.0000 -166.6909   0.6933       ML
       64   0.4362   0.7978   0.4953  -5.0765   0.4382   0.1760   1.2495   5.9933   0.5410   5.7452   0.5479  -7.4887   0.3789   0.0000 -143.2655   1.1525       ML
       65   0.2020   0.1979   0.9117  -4.8220   0.4470   0.1125   1.2381   8.9551   0.5034  41.1761   0.6269  -4.1003   0.4867   0.0000 -176.9674   0.8200       ML
       66   0.3411   0.5287   0.5052  -3.4793   0.4045   0.1791   0.7007   3.5515   0.4566   5.1015   0.5185  -4.9800   0.4564   0.0000 -132.9145   1.2765       ML
       67   0.7174   0.0702   0.7055 -14.5307   0.4358   0.2238   0.4522  40.2037   0.5737  11.8894   0.5687  -0.9152   0.5197   0.0000 -130.8568   1.0294       ML
       69   0.4232   0.5437   0.6131  -1.8008   0.3908   0.2679   0.5194   1.8113   0.4289   3.7684   0.4558  -4.7166   0.4490   0.0000 -66.9670   0.9349       ML
        7   0.6659   0.4953   0.9108  -5.8433   0.3803   0.1451   0.5260   6.6227   0.5559   3.6538   0.5340  -5.1182   0.4608   0.0000 -158.6466   0.6369       ML
       70   0.0699   0.5245   0.7562   0.4914   0.4223   0.1342   0.6318   3.6147   0.4848  16.0747   0.5794  -3.0189   0.4149   0.0000 -128.8577   1.0034       ML
       71   0.6184   0.6200   0.7245  -6.5918   0.4335   0.1437   0.4844   4.6273   0.5282   7.8499   0.5679 -11.4060   0.4886   0.0000 -173.2289   1.1177       ML
       72   0.4525   0.5146   0.6093  -8.5797   0.4035   0.1094   0.5738   4.5924   0.4666   3.7058   0.4671  -3.3386   0.4100   0.0000 -163.1803   0.6167       ML
       73   0.3295   0.1006   0.5977  -2.9136   0.4104   0.1737   0.7073  14.3262   0.5037   6.9989   0.5279  -1.3653   0.4465   0.0000 -137.2671   1.2569       ML
       74   0.6165   0.8314   0.9434  -7.4423   0.3604   0.1082   1.1363   4.0284   0.4432   3.2093   0.3928  -8.3792   0.3851   0.0000 -169.7589   0.8234       ML
