"","subj_idx","dangerous","weapon","rt","response","condition","stimulus"
"320",3,1,0,0.51,1,"dangerous","phone"
"321",3,1,0,0.449,1,"dangerous","phone"
"322",3,1,1,0.439,0,"dangerous","gun"
"323",3,1,1,0.412,0,"dangerous","gun"
"324",4,0,1,0.588,0,"harmless","gun"
"325",4,0,1,0.38,1,"harmless","gun"
"326",4,1,0,0.255,0,"dangerous","phone"
"327",4,1,0,0.3,1,"dangerous","phone"
"328",4,1,0,0.501,0,"dangerous","phone"
"329",4,0,1,0.497,0,"harmless","gun"
"330",4,1,1,0.453,0,"dangerous","gun"
"331",4,0,0,0.507,1,"harmless","phone"
"332",4,1,1,0.423,0,"dangerous","gun"
"333",4,1,0,0.517,0,"dangerous","phone"
"334",4,0,0,0.529,1,"harmless","phone"
"335",4,0,0,0.286,1,"harmless","phone"
"336",4,1,1,0.407,0,"dangerous","gun"
"337",4,1,0,0.428,1,"dangerous","phone"
"338",4,1,0,0.36,0,"dangerous","phone"
"339",4,1,0,0.591,1,"dangerous","phone"
"340",4,0,1,0.447,0,"harmless","gun"
"341",4,0,0,0.453,1,"harmless","phone"
"342",4,1,1,0.349,0,"dangerous","gun"
"343",4,1,1,0.392,0,"dangerous","gun"
"344",4,0,0,0.452,1,"harmless","phone"
"345",4,0,1,0.335,0,"harmless","gun"
"346",4,1,1,0.414,0,"dangerous","gun"
"347",4,0,0,0.57,1,"harmless","phone"
"348",4,1,0,0.625,1,"dangerous","phone"
"349",4,1,1,0.376,0,"dangerous","gun"
"350",4,1,0,0.54,1,"dangerous","phone"
"351",4,1,0,0.839,1,"dangerous","phone"
"352",4,0,1,0.533,0,"harmless","gun"
"353",4,0,0,0.561,1,"harmless","phone"
"354",4,1,0,0.557,1,"dangerous","phone"
"355",4,0,1,0.348,0,"harmless","gun"
"356",4,0,0,0.559,0,"harmless","phone"
"357",4,0,1,0.481,0,"harmless","gun"
"358",4,0,1,0.461,0,"harmless","gun"
"359",4,1,1,0.43,0,"dangerous","gun"
"360",4,1,1,0.382,0,"dangerous","gun"
"361",4,0,1,0.483,0,"harmless","gun"
"362",4,1,0,0.487,1,"dangerous","phone"
"363",4,0,1,0.412,0,"harmless","gun"
"364",4,1,1,0.429,0,"dangerous","gun"
"365",4,0,1,0.399,0,"harmless","gun"
"366",4,0,0,0.534,1,"harmless","phone"
"367",4,1,1,0.36,0,"dangerous","gun"
"368",4,0,0,0.512,0,"harmless","phone"
"369",4,0,1,0.531,0,"harmless","gun"
"370",4,0,0,0.579,1,"harmless","phone"
"371",4,1,0,0.673,1,"dangerous","phone"
"372",4,1,1,0.411,0,"dangerous","gun"
"373",4,1,0,0.558,1,"dangerous","phone"
"374",4,0,1,0.476,0,"harmless","gun"
"375",4,0,1,0.429,0,"harmless","gun"
"376",4,0,0,0.416,1,"harmless","phone"
"377",4,0,0,0.551,1,"harmless","phone"
"378",4,0,1,0.314,0,"harmless","gun"
"379",4,1,0,0.528,1,"dangerous","phone"
"380",4,1,0,0.355,1,"dangerous","phone"
"381",4,1,0,0.507,1,"dangerous","phone"
"382",4,0,0,0.575,1,"harmless","phone"
"383",4,1,1,0.417,0,"dangerous","gun"
"384",4,1,1,0.421,0,"dangerous","gun"
"385",4,1,0,0.299,1,"dangerous","phone"
"386",4,1,0,0.581,1,"dangerous","phone"
"387",4,1,0,0.581,1,"dangerous","phone"
"388",4,0,0,0.484,1,"harmless","phone"
"389",4,1,0,0.297,1,"dangerous","phone"
"390",4,0,0,0.564,1,"harmless","phone"
"391",4,0,0,0.644,1,"harmless","phone"
"392",4,0,0,0.56,1,"harmless","phone"
"393",4,0,1,0.482,0,"harmless","gun"
"394",4,0,1,0.531,0,"harmless","gun"
"395",4,1,0,0.534,1,"dangerous","phone"
"396",4,0,0,0.617,1,"harmless","phone"
