"","subj_idx","stimulus","stim","rt","response","condition"
"13884",129,"phone","bp",0.537,1,"black"
"13885",129,"gun","wg",0.503,0,"white"
"13886",129,"gun","bg",0.598,0,"black"
"13887",129,"phone","wp",0.497,1,"white"
"13888",129,"phone","wp",0.625,1,"white"
"13889",129,"phone","bp",0.683,1,"black"
"13890",129,"phone","wp",0.485,1,"white"
"13891",129,"phone","wp",0.565,1,"white"
"13892",129,"phone","bp",0.611,1,"black"
"13893",129,"gun","bg",0.496,0,"black"
"13894",129,"phone","bp",0.655,1,"black"
"13895",129,"phone","bp",0.503,1,"black"
"13896",129,"phone","wp",0.519,1,"white"
"13897",129,"phone","wp",0.471,1,"white"
"13898",129,"phone","bp",0.537,1,"black"
"13899",129,"gun","wg",0.441,1,"white"
"13900",129,"gun","bg",0.412,0,"black"
"13901",129,"gun","bg",0.479,0,"black"
"13903",129,"phone","wp",0.631,1,"white"
"13904",129,"gun","wg",0.642,0,"white"
"13905",129,"gun","wg",0.637,1,"white"
"13906",129,"gun","wg",0.591,0,"white"
"13907",129,"gun","wg",0.492,0,"white"
"13908",129,"phone","bp",0.573,1,"black"
"13909",129,"phone","bp",0.618,1,"black"
"13910",129,"gun","wg",0.551,0,"white"
"13911",129,"phone","bp",0.661,1,"black"
"13914",129,"gun","bg",0.601,0,"black"
"13915",129,"phone","bp",0.601,1,"black"
"13916",129,"phone","wp",0.646,1,"white"
"13917",129,"gun","bg",0.529,0,"black"
"13918",129,"phone","bp",0.545,1,"black"
"13920",130,"gun","wg",0.526,0,"white"
"13921",130,"phone","bp",0.548,1,"black"
"13922",130,"gun","bg",0.452,0,"black"
"13923",130,"gun","bg",0.44,1,"black"
"13924",130,"phone","bp",0.679,1,"black"
"13925",130,"gun","wg",0.531,0,"white"
"13926",130,"gun","wg",0.512,0,"white"
"13927",130,"gun","wg",0.556,0,"white"
"13928",130,"gun","bg",0.452,0,"black"
"13929",130,"gun","bg",0.427,0,"black"
"13930",130,"phone","bp",0.682,1,"black"
"13931",130,"gun","bg",0.477,0,"black"
"13932",130,"gun","bg",0.489,0,"black"
"13933",130,"gun","bg",0.537,0,"black"
"13934",130,"gun","bg",0.353,0,"black"
"13935",130,"phone","wp",0.59,1,"white"
"13937",130,"gun","bg",0.602,1,"black"
"13938",130,"gun","bg",0.46,0,"black"
"13939",130,"gun","bg",0.4,0,"black"
"13940",130,"phone","wp",0.648,1,"white"
"13941",130,"phone","bp",0.696,1,"black"
"13942",130,"phone","bp",0.653,1,"black"
"13943",130,"gun","wg",0.666,0,"white"
"13944",130,"gun","bg",0.465,0,"black"
"13945",130,"phone","bp",0.622,1,"black"
"13946",130,"phone","bp",0.666,1,"black"
"13947",130,"gun","wg",0.519,0,"white"
"13948",130,"phone","wp",0.611,1,"white"
"13949",130,"phone","bp",0.553,1,"black"
"13950",130,"gun","bg",0.434,0,"black"
"13951",130,"gun","bg",0.513,0,"black"
"13952",130,"phone","wp",0.628,1,"white"
"13953",130,"phone","bp",0.626,1,"black"
"13954",130,"gun","wg",0.398,0,"white"
"13955",130,"phone","bp",0.638,1,"black"
"13956",130,"phone","wp",0.651,1,"white"
"13957",130,"phone","wp",0.5,1,"white"
"13958",130,"gun","bg",0.487,0,"black"
"13959",130,"gun","wg",0.508,0,"white"
"13960",130,"phone","wp",0.464,1,"white"
"13961",130,"gun","wg",0.537,0,"white"
"13962",130,"phone","wp",0.645,1,"white"
"13963",130,"gun","bg",0.458,0,"black"
"13964",130,"gun","wg",0.482,0,"white"
"13965",130,"phone","wp",0.573,1,"white"
